DateKey;Date;DayDate;WeekNumberOfYear;Month;MonthNumber;CalendarQuarter;Year
20170101;2017-01-01;1;1;January;1;1;2017
20170102;2017-01-02;2;1;January;1;1;2017
20170103;2017-01-03;3;1;January;1;1;2017
20170104;2017-01-04;4;1;January;1;1;2017
20170105;2017-01-05;5;1;January;1;1;2017
20170106;2017-01-06;6;1;January;1;1;2017
20170107;2017-01-07;7;1;January;1;1;2017
20170108;2017-01-08;8;2;January;1;1;2017
20170109;2017-01-09;9;2;January;1;1;2017
20170110;2017-01-10;10;2;January;1;1;2017
20170111;2017-01-11;11;2;January;1;1;2017
20170112;2017-01-12;12;2;January;1;1;2017
20170113;2017-01-13;13;2;January;1;1;2017
20170114;2017-01-14;14;2;January;1;1;2017
20170115;2017-01-15;15;3;January;1;1;2017
20170116;2017-01-16;16;3;January;1;1;2017
20170117;2017-01-17;17;3;January;1;1;2017
20170118;2017-01-18;18;3;January;1;1;2017
20170119;2017-01-19;19;3;January;1;1;2017
20170120;2017-01-20;20;3;January;1;1;2017
20170121;2017-01-21;21;3;January;1;1;2017
20170122;2017-01-22;22;4;January;1;1;2017
20170123;2017-01-23;23;4;January;1;1;2017
20170124;2017-01-24;24;4;January;1;1;2017
20170125;2017-01-25;25;4;January;1;1;2017
20170126;2017-01-26;26;4;January;1;1;2017
20170127;2017-01-27;27;4;January;1;1;2017
20170128;2017-01-28;28;4;January;1;1;2017
20170129;2017-01-29;29;5;January;1;1;2017
20170130;2017-01-30;30;5;January;1;1;2017
20170131;2017-01-31;31;5;January;1;1;2017
20170201;2017-02-01;1;5;February;2;1;2017
20170202;2017-02-02;2;5;February;2;1;2017
20170203;2017-02-03;3;5;February;2;1;2017
20170204;2017-02-04;4;5;February;2;1;2017
20170205;2017-02-05;5;6;February;2;1;2017
20170206;2017-02-06;6;6;February;2;1;2017
20170207;2017-02-07;7;6;February;2;1;2017
20170208;2017-02-08;8;6;February;2;1;2017
20170209;2017-02-09;9;6;February;2;1;2017
20170210;2017-02-10;10;6;February;2;1;2017
20170211;2017-02-11;11;6;February;2;1;2017
20170212;2017-02-12;12;7;February;2;1;2017
20170213;2017-02-13;13;7;February;2;1;2017
20170214;2017-02-14;14;7;February;2;1;2017
20170215;2017-02-15;15;7;February;2;1;2017
20170216;2017-02-16;16;7;February;2;1;2017
20170217;2017-02-17;17;7;February;2;1;2017
20170218;2017-02-18;18;7;February;2;1;2017
20170219;2017-02-19;19;8;February;2;1;2017
20170220;2017-02-20;20;8;February;2;1;2017
20170221;2017-02-21;21;8;February;2;1;2017
20170222;2017-02-22;22;8;February;2;1;2017
20170223;2017-02-23;23;8;February;2;1;2017
20170224;2017-02-24;24;8;February;2;1;2017
20170225;2017-02-25;25;8;February;2;1;2017
20170226;2017-02-26;26;9;February;2;1;2017
20170227;2017-02-27;27;9;February;2;1;2017
20170228;2017-02-28;28;9;February;2;1;2017
20170301;2017-03-01;1;9;March;3;1;2017
20170302;2017-03-02;2;9;March;3;1;2017
20170303;2017-03-03;3;9;March;3;1;2017
20170304;2017-03-04;4;9;March;3;1;2017
20170305;2017-03-05;5;10;March;3;1;2017
20170306;2017-03-06;6;10;March;3;1;2017
20170307;2017-03-07;7;10;March;3;1;2017
20170308;2017-03-08;8;10;March;3;1;2017
20170309;2017-03-09;9;10;March;3;1;2017
